D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,ModelName,NAME_Num,NAME_Part,Kind,CHIP_L,CHIP_W,CHIP_T,VOLUME,NOZZLE_A,NOZZLE_B,NOZZLE_C,NOZZLE_D,NOZZLE_E,X,Y,A,DISTANCE,TapeWidth,TapePitch,SupplyType_num,SupplyKind_num,TapeKind_num,PartCount,TURN,TS,MS,NP,HEAD,NOZZLE,NOZZLE_Slot,PU,SIDE,Mounter_Order,TACT
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,2445,EBC64038503,1,1,0.5,0.35,0.175,230,0,0,0,0,-93.5,50,-90,106.029477033512,8,2,1,1,4,10000,4,3,3,10,3,230,312,30017,1,1,16.079
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,2205,EBC62528409,1,1,0.5,0.35,0.175,230,0,0,0,0,-17.95,73.4,-90,75.5629704286432,8,2,1,1,4,10000,3,2,11,11,4,230,413,40019,1,2,15.131
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,2205,EBC62528409,1,1,0.5,0.35,0.175,230,0,0,0,0,-17.95,71.4,-90,73.6217528995337,8,2,1,1,4,10000,3,1,10,3,4,230,423,40019,1,3,15.131
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,2210,EBC62528423,1,1,0.5,0.35,0.175,230,0,0,0,0,-17.7,36.35,-90,40.4303413292542,8,2,1,1,4,10000,6,5,14,1,4,230,421,40019,2,4,15.131
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,2213,EBC62528429,1,1,0.5,0.35,0.175,230,0,0,0,0,-120.2,166.55,180,205.394601925172,8,2,1,1,4,10000,1,2,2,4,3,230,324,30022,2,5,16.079
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-114.1,164.35,-90,200.074317442294,8,2,1,1,4,10000,4,3,12,6,1,230,126,10023,1,6,16.150
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-113.1,164.35,-90,199.505720469364,8,2,1,1,4,10000,1,4,4,15,2,230,217,20020,2,7,14.937
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-119.1,164.75,180,203.291348807567,8,2,1,1,4,10000,4,8,15,9,1,230,111,10023,1,8,16.150
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-103.1,163.95,-90,193.672952422376,8,2,1,1,4,10000,3,2,7,14,1,230,116,10023,1,9,16.150
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-111.1,164.35,-90,198.378760203808,8,2,1,1,4,10000,1,3,2,16,2,230,218,20020,2,10,14.937
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-118.7,159.85,-90,199.102266436121,8,2,1,1,4,10000,4,4,10,5,1,230,125,10023,1,11,16.150
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-116.6,164.35,-90,201.510502207701,8,2,1,1,4,10000,4,6,3,2,1,230,122,10023,1,12,16.150
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-117.7,159.85,-90,198.507713955906,8,2,1,1,4,10000,2,3,5,5,1,230,125,10023,1,13,16.150
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,325,0RJ4703C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-32.1,154.15,180,157.456763906794,8,2,1,1,4,10000,5,2,9,9,4,230,411,40026,1,14,15.131
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,325,0RJ4703C478,1,1,0.5,0.35,0.175,230,0,0,0,0,-32.1,158.55,180,161.766846108837,8,2,1,1,4,10000,5,1,4,1,4,230,421,40026,1,15,15.131
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,240,0RJ0222C678,1,1,0.5,0.35,0.175,230,0,0,0,0,-120.6,165.15,-90,204.496656451884,8,2,1,1,4,10000,4,5,1,1,1,230,121,10023,1,16,16.150
25,30,1,3,1,1,1,3,1,1,0,0,0,0,5,2328,EBC63855601,1,1,0.5,0.35,0.175,230,0,0,0,0,-41.8,149.65,180,155.378127482603,8,2,1,1,4,10000,3,2,4,1,6,230,621,60016,1,17,15.881
