D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,ModelName,NAME_Num,NAME_Part,Kind,CHIP_L,CHIP_W,CHIP_T,VOLUME,NOZZLE_A,NOZZLE_B,NOZZLE_C,NOZZLE_D,NOZZLE_E,X,Y,A,DISTANCE,TapeWidth,TapePitch,SupplyType_num,SupplyKind_num,TapeKind_num,PartCount,TURN,TS,MS,NP,HEAD,NOZZLE,NOZZLE_Slot,PU,SIDE,Mounter_Order,TACT
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,1311,EAN38670901,16,2.1,1.62,0.9,3.0618,235,0,0,0,0,-59.8,170.95,-90,181.10754401736,8,4,6,1,3,500,3,1,14,16,3,235,318,30020,2,242,19.677
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,1326,EAN57678401,18,2.83,2.28,1.1,7.09764,230,235,0,0,0,-71.5,172.95,0,187.146874139003,8,4,4,1,3,3000,2,1,16,11,3,235,313,30014,1,243,19.677
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,1526,EAN65088801,18,6.397,7.854,1.8,90.4356684,1002,0,0,0,0,-69,149.05,90,164.246468759605,200,200,49,2,2,1,3,2,2,3,8,1002,813,81001,1,244,13.603
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,1414,EAN63027001,28,11,11,1.15,139.15,1003,0,0,0,0,-71,160.85,90,175.822986267439,200,200,49,2,2,1,2,2,1,2,8,1003,812,81002,1,245,13.603
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,1311,EAN38670901,16,2.1,1.62,0.9,3.0618,235,0,0,0,0,-48.8,111.05,-90,121.299392001774,8,4,6,1,3,500,2,2,10,8,3,235,328,30020,2,246,19.677
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,1511,EAN64986801,16,2.04,1.92,0.9,3.52512,235,0,0,0,0,-61.75,142.7,-90,155.487467340619,8,4,4,1,3,3000,2,2,13,7,3,235,327,30020,1,247,19.677
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,1511,EAN64986801,16,2.04,1.92,0.9,3.52512,235,0,0,0,0,-62,149.7,-90,162.031138982604,8,4,4,1,3,3000,3,1,13,15,3,235,317,30020,1,248,19.677
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,1482,EAN64552401,18,2.19,1.62,0.9,3.19302,235,230,0,0,0,-58,154.2,0,164.747200279701,8,4,4,1,3,3000,5,2,13,4,3,235,324,30010,2,249,19.677
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,1345,EAN62046401,18,2.75,2.83,1.1,8.56075,230,235,0,0,0,-32.9,107.35,-90,112.278370579556,8,4,4,1,3,3000,2,1,9,16,3,235,318,30016,2,250,19.677
30,40,2,3,1,2,4,3,1,2,0,0,0,0,0,1422,EAN63067201,19,26,25.99,1.5,1013.61,1005,0,0,0,0,-31.6,131.85,180,135.583857815007,200,200,49,2,2,1,1,3,1,1,8,1005,811,81003,1,251,13.603
